Airdrop release schedule,What can be found in Airdrop
Day1,Ember
,Hide Helmet
,Hide Armor
,Hide Legguards
,Red Dot Sight
,Fuse
,Dynamite Bundle
,Engine
,Steel Slag
,Herbs
,M1897
,12-Gauge Shell
,PPSh-41
,9mm Ammo
,Kar98k
,7.62mm Ammo
Day2,Ember
,Iron Helmet
,Iron Armor
,Iron Legguards
,Red Dot Sight
,4x Scope
,Dynamite Tube
,C4
,Chip
,Engine
,Steel Slag
,Syringe
,Herbs
,Browning 27
,12-Gauge Shell
,Shotgun Choke
,Shotgun Ammo Pouch
,MPX
,9mm Ammo
,SMG Suppressor
,SMG Compensator
,SMG Extended Mag
,Vertical Grip
,Tripod
,AKM
,7.62mm Ammo
,Rifle Extended Mag
,Rifle Suppressor
,Rifle Compensator
,M4A1
,5.56mm Ammo
,Metal Stock
,M700
,Sniper Extended Mag
,Sniper Suppressor
,Sniper Brake
,Ameli
Day3,Ember
,Steel Helmet
,Steel Armor
,Steel Legguards
,Red Dot Sight
,4x Scope
,Dynamite Tube
,C4
,Chip
,Engine
,Steel Slag
,Syringe
,First Aid Kit
,MPX
,9mm Ammo
,SMG Suppressor
,SMG Compensator
,SMG Extended Mag
,Vertical Grip
,Tripod
,AKM
,7.62mm Ammo
,Rifle Extended Mag
,Rifle Suppressor
,Rifle Compensator
,M4A1
,5.56mm Ammo
,Metal Stock
,M700
,Sniper Extended Mag
,Sniper Suppressor
,Sniper Brake
,Ameli
Day4,Ember
,Riot Helmet
,Riot Armor
,Riot Legguards
,Kevlar
,4x Scope
,8x Scope
,Dynamite Tube
,C4
,Chip
,Engine
,Steel Slag
,Syringe
,First Aid Kit
,Vector
,9mm Ammo
,SMG Suppressor
,SMG Compensator
,SMG Extended Mag
,Metal Stock
,Vertical Grip
,Tripod
,Saiga-12
,12-Gauge Shell
,Shotgun Choke
,Rifle Extended Mag
,Rifle Suppressor
,Rifle Compensator
,AUG
,5.56mm Ammo
,Barrett
,7.62mm Ammo
,Sniper Extended Mag
,Sniper Suppressor
,Sniper Brake
,MK46
,ARX
Day5,Ember
,Riot Helmet
,Riot Armor
,Riot Legguards
,Kevlar
,4x Scope
,8x Scope
,Dynamite Tube
,C4
,Chip
,Engine
,Steel Slag
,Syringe
,First Aid Kit
,Vector
,9mm Ammo
,SMG Suppressor
,SMG Compensator
,SMG Silencer
,SMG Extended Mag
,Metal Stock
,Vertical Grip
,Tripod
,Saiga-12
,12-Gauge Shell
,Shotgun Choke
,Rifle Extended Mag
,Rifle Suppressor
,Rifle Compensator
,Rifle Silencer
,AUG
,5.56mm Ammo
,Barrett
,7.62mm Ammo
,Sniper Extended Mag
,Sniper Suppressor
,Sniper Brake
,Sniper Silencer
,MK46
,ARX
Day6,Ember
,Riot Helmet
,Riot Armor
,Riot Legguards
,Kevlar
,4x Scope
,8x Scope
,Dynamite Tube
,C4
,Chip
,Engine
,Steel Slag
,Syringe
,First Aid Kit
,Vector
,9mm Ammo
,SMG Suppressor
,SMG Compensator
,SMG Silencer
,SMG Extended Mag
,Metal Stock
,Vertical Grip
,Tripod
,Saiga-12
,12-Gauge Shell
,Shotgun Choke
,Rifle Extended Mag
,Rifle Suppressor
,Rifle Compensator
,Rifle Silencer
,AUG
,5.56mm Ammo
,Barrett
,7.62mm Ammo
,Sniper Extended Mag
,Sniper Suppressor
,Sniper Brake
,Sniper Silencer
,MK46
,ARX
Day7,Ember
,Riot Helmet
,Riot Armor
,Riot Legguards
,Kevlar
,4x Scope
,8x Scope
,Dynamite Tube
,C4
,Chip
,Engine
,Steel Slag
,First Aid Kit
,Vector
,9mm Ammo
,SMG Suppressor
,SMG Compensator
,SMG Silencer
,SMG Extended Mag
,Metal Stock
,Vertical Grip
,Tripod
,Saiga-12
,12-Gauge Shell
,Shotgun Choke
,Rifle Extended Mag
,Rifle Suppressor
,Rifle Compensator
,Rifle Silencer
,AUG
,5.56mm Ammo
,Barrett
,7.62mm Ammo
,Sniper Extended Mag
,Sniper Suppressor
,Sniper Brake
,Sniper Silencer
,MK46
,ARX
