Civilization Ruins Name,Level of Civilization Ruins,Recommended Challenge Level for players,Resource abundance of Civilization Ruins,What NPC can be found in Civilization Ruins,NPC Amount in Civilization Ruins,What Card can be found in Civilization Ruins,Card Amount,What Box can be found in Civilization Ruins,Box Amount,Biomes of Civilization Ruins
Riverbank Retreat,1,15,★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","26 , 1 , 4 , 9 , 6 , 5","Green card, Yellow card","1 , 1","Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box",7 3 3 2 5 1,Plain
Nelson's Lumberyard,1,15,★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","34 , 1 , 4 , 11, 5, 7","Green card, Yellow card","1 , 1","Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box",6 3 4 5 5 1,Plain
Red Pine Ranch,1,15,★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","35 , 1 , 4 , 15 , 8 , 7","Green card, Yellow card","1 , 1","Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box",11 3 5 3 5 1,Plain
Maynard Loggers,1,15,★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","23 , 1 , 4 , 6 , 3 , 6","Green card, Yellow card","1 , 1","Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box",6 3 3 4 5 1,Plain
Meekers Mill,1,15,★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","21 , 1 , 4 , 8 , 4, 4","Green card, Yellow card","1 , 1","Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box",7 3 3 2 5 1,Snowy Mountain
Cloudsville,1,15,★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","29 , 1 , 4 , 9 , 7 , 7","Green card, Yellow card","1 , 1","Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box",7 2 3 3 6 1,Plain
Point Slope,1,15,★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","16 , 1 , 4 , 8 , 4 , 3","Green card, Yellow card","1 , 1","Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box",6 3 4 4 5 1,Snowy Mountain
Alpine Mine,1,15,★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","36 , 1 , 4 , 13 , 8 , 8","Green card, Yellow card","1 , 1","Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box",10 2 4 5 6 1,Snowy Mountain
Littleton,1,15,★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","18 , 1 , 2 , 6 , 6 , 5","Green card, Yellow card","1 , 1","Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box",7 2 3 3 5 1,Barren Land
Sandy Plains,1,15,★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","22 , 1 , 3 , 5 , 3 , 7","Green card, Yellow card","1 , 1","Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box",7 3 5 6 6 1 ,Barren Land
Cape Hattersborne,2,25,★★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper, Mobber, Mob Captain, Scoper, Dozer, Vulture","49 , 2 , 8 , 16 , 11 , 9 , 10 , 4 , 2 , 2 , 1",Red card,1,"Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box, Part Box, Facility Box, Medicine Box, Food Box, Misc Box, Weapon Box",12 5 11 12 5 0 5 2 6 4 3 1,Barren Land
River City,2,25,★★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper, Mobber, Mob Captain, Scoper, Dozer, Vulture","68 , 2 , 7 , 21 , 17 , 16 , 19 , 6 , 2 , 2 , 1",Red card,1,"Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box, Part Box, Facility Box, Medicine Box, Food Box, Misc Box, Weapon Box",20 9 21 16 15 0 11 3 9 8 8 1,Plain
Silver City,2,25,★★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper, Mobber, Mob Captain, Scoper, Dozer, Vulture","45 , 2 , 8 , 22 , 10 , 10 , 12 , 5 , 2 , 2 , 1",Red card,1,"Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box, Part Box, Facility Box, Medicine Box, Food Box, Misc Box, Weapon Box",13 6 12 12 9 0 8 3 8 4 6 1,Plain
Port Harlow,2,25,★★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper, Mobber, Mob Captain, Scoper, Dozer, Vulture","94 , 2 , 16 , 30 , 15 , 15, 15 , 6 , 2 , 2 , 1",Red card,1,"Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box, Part Box, Facility Box, Medicine Box, Food Box, Misc Box, Weapon Box",25 9 22 25 15 0 7 2 5 4 4 1,Plain
Mt. Bedford,2,25,★★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper, Mobber, Mob Captain, Scoper, Dozer, Vulture","77 , 2 , 16 , 31 , 11 , 11 , 15 , 6 , 2 , 2 , 1",Red card,1,"Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box, Part Box, Facility Box, Medicine Box, Food Box, Misc Box, Weapon Box",17 8 20 20 10 0 16 7 14 10 9 1,Plain
Port Tackson,3,40,★★★,"Rager, Rage Captain, Elite Scoper, Panzer, Kane, Zed, Sicario, Goyle, Mammon","90 , 19 , 9 , 9, 1, 1, 1, 1, 1",null,null,"Elite Part Box, Elite Facility Box, Elite Medicine Box, Elite Food Box, Elite Misc Box, Elite Weapon Box",22 10 15 13 9 2,Barren Land
,,,,,,,,,,
Bristol Quarry,1,15,★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","30 , 1 , 4 , 10 , 5, 5","Green card, Yellow card","1 , 1","Basic Part Box, Basic Facility Box, Basic Medicine Box, Basic Food Box, Basic Misc Box, Basic Weapon Box",4 3 4 4 5 2,
Longview,1,15,★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","20 , 1 , 3 , 7 , 4 , 3","Green card, Yellow card","1 , 1",,,
Salsbury,1,15,★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","21 , 1 , 4 , 7 , 5 , 5","Green card, Yellow card, Red card","2 , 2 , 2",,,
Roanoke,1,25,★★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","33 , 1 , 5 , 14 , 6 , 7","Green card, Yellow card","1 , 1",,,
Marlin Mine,1,25,★★★,"Normies, Banshee, Red Belly, Puker, Nurser, Trooper","39 , 1 , 10 , 14 ,11 , 11",null,null,,,
