Npc name,What you get when you kill NPC
General Normies,12-Gauge Shell
,9mm Ammo
,7.62mm Ammo
,Cogwheel
,Glass Fragment
,Chip
,Spring
,Glue
,Rubbing Alcohol
"Elite Zombies
 (Trooper,Nurser, Puker, Red Belly)",12-Gauge Shell
,9mm Ammo
,7.62mm Ammo
,Cogwheel
,Glass Fragment
,Chip
,Spring
,Glue
,Rubbing Alcohol
"General NPC
 (Dozer, Panzer, Mobber, Rager, Mob Captain, Rage Captain)",12-Gauge Shell
,9mm Ammo
,7.62mm Ammo
,5.56mm Ammo
,Cogwheel
,Glass Fragment
,Chip
,Spring
,Glue
,Rubbing Alcohol
All Scoper NPC, No drops
"Tier 1 Boss
 (Banshee)",Ember
,Fuse
,Dynamite Bundle
,Gun Part
,Spring
,M1897
,12-Gauge Shell
,PPSh-41
,9mm Ammo
,Kar98k
,7.62mm Ammo
"Tier 2 Boss
 (Vulture)",Ember
,Chip
,Dynamite Tube
,C4
,Precision gun part
,Spring
,Browning 27
,12-Gauge Shell
,MPX
,9mm Ammo
,AKM
,7.62mm Ammo
,M4A1
,5.56mm Ammo
,M700
,Ameli
"Tier 3 Boss
 (Kane)",Ember
,Chip
,Dynamite Tube
,C4
,Rocket Fuse
,Rocket
,Precision gun part
,Spring
,4x Scope
,Optical Lens
,8x Scope
,Super Pressure Balloon
,Teleporter
,Defibrillation Paddles
,AED
,Rocket Launcher Body
,Rocket Launcher
,Riot Helmet
,Riot Armor
,Riot Legguards
,Kevlar
,Armored Vehicle
,Vector
,9mm Ammo
,Saiga-12
,12-Gauge Shell
,AUG
,5.56mm Ammo
,Barrett
,7.62mm Ammo
,MK46
,ARX
"NPC with Kane
 (Zed, Sicario, Goyle, Mammon)",Chip
