NPC Name,Description of NPC
Dozer,"Armed Villians that can be found in tier II ruins. They normally guard the yellow vaults with thier armoured skin which are made of ruin particals. They also have machine guns for their defence which continuously fire bullet and can make player's body full with holes. You should take cover and use long-range weapons (Bows and Arrows, Snippers, etc) to defeat them. Spawns at lvl.30."
Panzer,"Armed Villians that can be found in Port Tackson. They normally guard the red vault with thier armoured skin which are made of ruin particals. They also have machine guns for their defence which continuously fire bullet and can make player's body full with holes. You should take cover and use long-range weapons (Bows and Arrows, Snippers, etc) to defeat them. Spawns at lvl.45."
Scoper,"Long-range attacking armed villians with snipers to defend yellow vaults. Don't approach them without any armor since they can one-shot you. You should take cover and use long-range weapons (Bows and Arrows, Snippers, etc) to defeat them. Veteran players leave them be since they can warn them from potential competitors while accessing yellow vault.Spawns at lvl.30."
Elite Scoper,"Advanced Long range attacking armed villians with snipers to defend red vault. Don't approach them without any armor since they can one-shot you. You should take cover and use long-range weapons (Bows and Arrows, Snippers, etc) to defeat them.Spawns at lvl.45."
Sentinel Drone,Mini auto-aim drones spawned by the scientist boss KANE in the Highly dangerous PORT TACKSON. They damage the players and distract them  to prevent them from attacking KANE. They are not so damaging for High lvl players but killing them son is advised. Do not drop any materials when defeated.
Gunner Drone,Mini auto-aim drones spawned by the scientist boss KANE in the Highly dangerous PORT TACKSON. They damage the players and distract them  to prevent them from attacking KANE. They are not so damaging for High lvl players but killing them son is advised. Do not drop any materials when defeated.
Normie/Normies,"Low level Zombified humanoids found in all types of ruins except Port Tackson. They can be easily defeated, but in a group they can even kill you. Making good use of triggers and traps can make exploration and combat easier. For example, destroying a propane tank will set off a large explosion, dealing damage to nearby zombies. Spawns at lvl.5."
Trooper/Troopers,Slightly high level Zombified humanoids found in all types of ruins except Port Tackson. They have high defensive capacities. They are slow due to their heavy armor but one stroke deals a great damage so be careful. Spawns at lvl.10.
Nurser/Nursers,"Slightly high level Zombified humanoids found in all types of ruins except Port Tackson. They boast great speed, so make sure to defeat them quickly. Spawns at lvl.10."
Red Belly/Red Bellies,"Special Zombified humanoid found in all types of ruins except Port Tackson. They will explode and deal massive damage when someone gets near. Try to steer clear of them. Highly dangerous even for veterans, be advised to kill them first when you see them (Shoot at Sight). Spawns at lvl.10."
Puker/Pukers,"Special Zombified humanoid found in all types of ruin except Port Tackson. They deal damage to players by spewing acid from a distance. Keep an eye out for their sneak attacks. Highly irritating, be advised to kill them first when you see them (Shoot at Sight). Spawn at lvl.10."
Banshee/Banshees,"Banshees move extremely fast (even teleport) and have very high HP. They can shriek to deal massive Damage from a distance. Once defeated, Banshees will drop Embers and numerous supplies. Fight them with caution."
Mobber/Mobbers,"Middle range attacking armed villians with MPX to defend yellow vaults. They can approach the player quickly, so be very careful. By increasing your character level, you can deal more damage to them and reduce the damage you take. You should take cover and use middle-range weapons (PPSH-41, AKM, etc) to defeat them. Spawns at lvl.25.
"
Rager/Ragers,"Advance middle-range attacking armed villians with vector to defend red vault. They can approach the player quickly, so be very careful. By increasing your character level, you can deal more damage to them and reduce the damage you take. You should take cover and use middle-range weapons (PPSH-41, AKM, etc) to defeat them. Spawns at lvl.40."
Mob Captain/Mob Captains,"Middle-range attacking armed villians with M4A1 to defend yellow vaults. They can approach the player quickly, so be very careful. By increasing your character level, you can deal more damage to them and reduce the damage you take. You should take cover and use middle-range weapons (PPSH-41, AKM, etc) to defeat them. Spawns at lvl.30.
"
Rage Captain/Rage Captains,"Advance middle-range attacking armed villians with AUG to defend red vault. They can approach the player quickly, so be very careful. By increasing your character level, you can deal more damage to them and reduce the damage you take. You should take cover and use middle-range weapons (PPSH-41, AKM, etc) to defeat them. Spawns at lvl.45."
Kane,"Kane also known as the mad scientist shoots beams of laser which can penetrate through objects and damage you from a distance. He has a very high HP and can also heal itself. He also launches drones which attacks you and distracts from him. Once defeated, he will drop Embers and very rare supplies. Fight with caution as he is one of most powerful bosses in Emberland."
Zed,"Armed Villians that can be found in Port Tackson. They normally guard the red vault with thier armoured skin which are made of ruin particals. They also have machine guns for their defence which continuously fire bullet and can make player's body full with holes. You should take cover and use long-range weapons (Bows and Arrows, Snippers, etc) to defeat them. Spawns at lvl.45.(Not confirmed)"
Sicario,"Advance middle-range attacking armed villians with AUG to defend red vault. They can approach the player quickly, so be very careful. By increasing your character level, you can deal more damage to them and reduce the damage you take. You should take cover and use middle-range weapons (PPSH-41, AKM, etc) to defeat them. Spawns at lvl.45.(Not confirmed)"
Goyle,"Armed Villians that can be found in Port Tackson. They normally guard the red vault with thier armoured skin which are made of ruin particals. They also have machine guns for their defence which continuously fire bullet and can make player's body full with holes. You should take cover and use long-range weapons (Bows and Arrows, Snippers, etc) to defeat them. Spawns at lvl.45.(Not confirmed)"
Mammon,"Advanced Long range attacking armed villians with snipers to defend red vault. Don't approach them without any armor since they can one-shot you. You should take cover and use long-range weapons (Bows and Arrows, Snippers, etc) to defeat them.Spawns at lvl.45.(Not confirmed)
"
Vulture,"Vulture, a genius-caliber talent for invention, can kill you in 4 different ways. He carries 2 different weapons for his defense and has very high HP which also gets healed by itself after when he receives some damage. He has a shotgun which deals great damage at short distance and a killing machine which can fire deadly missiles and rockets at a great distance and which can also function as a flamethrower that penetrates through walls and damages you. Once defeated, he will drop Embers and numerous supplies. Fight them with caution as he has one of the most dangerous weapon in Emberland."
