Weapon Name,Description of weapon,Damage,Mobility,Fire Rate,V. Stab.,H. Stab.,Ammo Capacity,Range
Rocket Launcher,A shoulder-fired missile weapon that launches rockets equipped whith an explosive warhead. Causes explosions and deals massive damge to structures.,400,65,,-,-,1,
Flare Gun,"Gun that shoots a bright red flash into the sky , after a while an airdrop falls at the place of the shot. This gun takes flare amoo.",400,,,-,-,1,
PPSh-41,"An old model, the SMG takes 9mm ammo.",29,89,,45,28,20,Mid
MPX,"Crafted using modern engineering technologies, this SMG takes 9mm",31,91,,56,53,30,Mid
Vector,"The best of its category, this SMG takes 9mm ammo.",32,93,,71,42,21,Mid
M1897,This pump-action shotgun takes 12-gauge shells.,75,85,,25,14,5,Close
Browning 27,This double-barrel shotgun takes 12-gauge shells,85,86,,42,22,2,Close
Saiga-12,Capable  of semi-automatic. This combat shotgun takes 12-gauge shells.,70,80,,23,14,8,Close
AKM,The classic rifle takes 7.62 ammo.,45,81,,45,18,30,Mid
M4A1,"Having greater capabilities, this rife takes 5.56mm ammo",41,85,,63,24,30,Mid
AUG,"A very powerful weapon, this bullpup rifle takes 5.56mm ammo.",41,86,,71,23,30,Mid
Kar98k,The classic bolt-action sniper takes 7.62mm ammo.,74,75,,33,14,5,Long
M700,"Having greater capabilities, this sniper takes 7.62mm ammo.",82,78,,28,12,5,Long
Barrett,"The best of its category, this sniper takes 7.62mm ammo.",105,64,,19,11,5,Long
Ameli,Capable of fully automatic fire. This weapon takes 5.56mm ammo.,41,75,,45,20,70,Mid
MK46,"Capable of intense sustanied fire, this weapon takes 5.56mm ammo.",40,71,,32,37,100,Mid
ARX,"A very powerful weapon, this assault  rifle takes 7.62mm ammo.",44,83,,56,21,30,Mid
Stone Axe,A simple tool used to chop down trees.,25,,,,,,
Iron Axe,An advenced tool used to chope down trees whith more effciency than a stone axe.,30,,,,,,
Steel Axe,The most advanced tool for chope down trees at the highest efficiency.,35,,,,,,
Stone Pickaxe,A simple tool used to minw ore.,20,,,,,,
Iron Pickaxe,An advenced tool used to mine ore whith more effciency than a stone pickaxe.,25,,,,,,
Steel Pickaxe,The most advanced tool for mining at the highest efficiency.,35,,,,,,
Wooden Club,A simple melee weapon that deals lower damage.,40,,,,,,
Iron Machete,An advanced melee weapon that deals solid damage.,60,,,,,,
Steel Machete,This melee weapon deals the higest damage.,85,,,,,,
Frag Grenade,Will deal to anyone standing within a close proximity when it explodes. ,150,,,,,,
Smoke Grenade,Can create a smoke screen that blocks vision fot a while.,1,,,,,,
Flashbang,"Explodes with a blinding flash and a deafending bang, temporarily disoreintating anyone affected.",1,,,,,,
Dynamite Bundle,Can stick to structures and deals damage to structure components.,150,,,,,,
C4,Can stick to structures and deals massive damage to structure components.,400,,,,,,
9mm Ammo,SMG Ammo,,,,,,,
HE 9mm Ammo-,,,,,,,,
5.56mm Ammo,MG and rifle ammo,,,,,,,
HE 5.56mm Ammo-,,,,,,,,
7.62mm Ammo,Sniper and rifle ammo,,,,,,,
HE 7.62mm Ammo-,,,,,,,,
12-Gauge Shell,Shotgun Ammo,,,,,,,
12-Gauge Flechette-,,,,,,,,
Rocket,Rocket Launcer Ammo,,,,,,,
Flare,Flare gun ammo,,,,,,,
Red Dot Sight,"A non-magnifying sight, provide a point of aim in the form of an illuminated red dot.",,,,,,,
4x Scope,This sight provides 4x magnification allows for greater precision over long ranges.,,,,,,,
8x Scope,This telescopic sight provides 8x magnification. Its magnification allows for greater precision over long ranges.,,,,,,,
SMG Suppressor,This muzzle flame when firing an SMG and slightly decrease recoil.,,,,,,,
SMG Silencer,This muzzle device can significantly reduce the noise made when firing an SMG.,,,,,,,
SMG Compensator,This muzzle device can significantly reduce the recoil generated when firing an SMG.,,,,,,,
Shotgun Choke,This muzzle device can reduce a shotgun`s spread.,,,,,,,
SMG Extended Mag,This magazine can increase an SMG`s magazine capacity.,,,,,,,
Rifle Extended Mag,This magazine can increase a rifle`s magazine capacity.,,,,,,,
Sniper Extended Mag,This magazine can increase a sniper`s magazine capacity.,,,,,,,
Shotgun Ammo Pouch,This magazine can increase a shotgun`s magazine capacity.,,,,,,,
Metal Stock,This stock can increase a gun`s handling and reduce its ammo spread.,,,,,,,
Vertical Grip,This grip can reduce vertical recoil and increse stability when using the single-fire mode.,,,,,,,
Tripod,This grip can reduce horizontal recoil and increse ADS speed when using a scope.,,,,,,,
Sniper Suppressor,This muzzle device can neutralize the muzzle flame when firing a sniper and slightly decrease recoil.,,,,,,,
Sniper Silencer,This muzzle device can significantly reduce the noise made when firing an sniper.,,,,,,,
Sniper Brake,This muzzle device can significantly reduce the recoil generated when firing an sniper.,,,,,,,
Rifle Suppressor,This muzzle device can neutralize the muzzle flame when firing a rifle and slightly decrease recoil.,,,,,,,
Rifle Silencer,This muzzle device can significantly reduce the noise made when firing an rifle.,,,,,,,
Rifle Compensator,This muzzle device can significantly reduce the recoil generated when firing an rifle.,,,,,,,
Kar98k Ammo Pouch,This magazine can increase a sniper`s reload speed.,,,,,,,
