"If the Production method is empty, then it means that item can be crafted directly in Crafting function",,,,,,,,,,,,,
What item can be craft,Raw materials required for crafting,,,,,,,,,,Tools required for crafting,,
Item,Raw material1,Amount,Raw material2,Amount,Raw material3,Amount,Raw material4,Amount,Raw material5,Amount,Lv. 1 Production method,Lv. 2 Production method,Lv. 3 Production method
Mushroom Seed,Mushroom,1,,,,,,,,,,,
Cotton Seed,Cotton,1,,,,,,,,,,,
Honeysuckle Seed,Honeysuckle,1,,,,,,,,,,,
Corn Seed,Corn,1,,,,,,,,,,,
Tomato Seed,Tomato,1,,,,,,,,,,,
Pumpkin Seed,Pumpkin,1,,,,,,,,,,,
Cactus Seed,Cactus,1,,,,,,,,,,,
Rubbing Alcohol,Corn,2,,,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Glue,Bone,2,,,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Explosive Materials,Charcoal,20,Niter Powder,20,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Gunpowder,Charcoal,5,Niter Powder,5,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Charcoal,Wood,1,,,,,,,,,Furnace,,
Niter Powder,Niter Ore,1,,,,,,,,,Furnace,,
Iron Bar,Iron Ore,1,,,,,,,,,Furnace,,
Steel Bar,Steel Slag,1,Iron Bar,1,,,,,,,Steel Furnace,,
Fuel,Crude Oil,1,,,,,,,,,Oil Refiner,,
Pumpkin Pie,Pumpkin,1,Corn,2,,,,,,,Campfire,Fireplace,
Pumpkin Cheese Cake,Pumpkin,1,Egg,2,,,,,,,Campfire,Fireplace,
Pumpkin Bread,Pumpkin,1,Egg,1,,,,,,,Campfire,Fireplace,
Bacon and Eggs,Egg,1,Meat,1,,,,,,,Campfire,Fireplace,
BBQ Platter,Meat,2,,,,,,,,,Campfire,Fireplace,
Boiled Egg,Egg,2,,,,,,,,,Campfire,Fireplace,
Mushroom Soup,Mushroom,2,,,,,,,,,Campfire,Fireplace,
Stewed Meat,Meat,2,Tomato,1,,,,,,,Campfire,Fireplace,
Grilled Meat,Meat,2,,,,,,,,,Campfire,Fireplace,
Steak,Meat,1,Corn,1,Mushroom,1,,,,,Campfire,Fireplace,
Grilled Corn,Corn,1,,,,,,,,,Campfire,Fireplace,
Corn Bread,Corn,1,Egg,1,,,,,,,Campfire,Fireplace,
Hot Dog,Grilled Meat,1,Corn Bread,1,,,,,,,Campfire,Fireplace,
Tomato Omelette,Tomato,1,Egg,1,,,,,,,Campfire,Fireplace,
Egg and Tomato Soup,Tomato,1,Egg,1,,,,,,,Campfire,Fireplace,
Moonshine,Corn,2,,,,,,,,,Campfire,Fireplace,
Honeysuckle Tea,Honeysuckle,2,,,,,,,,,Campfire,Fireplace,
Stone Axe,Wood,50,,,,,,,,,,,
Iron Axe,Iron Bar,80,Glue,2,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Steel Axe,Steel Bar,10,Glue,4,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Stone Pickaxe,Wood,50,,,,,,,,,,,
Iron Pickaxe,Iron Bar,80,Glue,2,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Steel Pickaxe,Steel Bar,10,Glue,4,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Wooden Club,Wood,50,,,,,,,,,,,
Iron Machete,Iron Bar,80,Glue,2,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Steel Machete,Steel Bar,10,Glue,4,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
PPSh-41,Spring,2,Gun Part,20,Iron Bar,400,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
MPX,SMG Body,1,Spring,5,Precision gun part,40,Steel Bar,40,,,Lv. 2 Workbench,Lv. 3 Workbench,
M1897,Spring,1,Gun Part,20,Iron Bar,400,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Browning 27,SMG Body,1,Spring,5,Precision gun part,40,Steel Bar,40,,,Lv. 2 Workbench,Lv. 3 Workbench,
AKM,Rifle Body,1,Spring,5,Precision gun part,40,Steel Bar,40,,,Lv. 2 Workbench,Lv. 3 Workbench,
M4A1,Rifle Body,1,Spring,7,Precision gun part,50,Steel Bar,50,,,Lv. 2 Workbench,Lv. 3 Workbench,
Kar98K,Spring,1,Gun Part,20,Iron Bar,400,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
M700,Sniper Body,1,Spring,5,Precision gun part,40,Steel Bar,40,,,Lv. 2 Workbench,Lv. 3 Workbench,
Ameli,MG Body,1,Spring,5,Precision gun part,40,Steel Bar,40,,,Lv. 2 Workbench,Lv. 3 Workbench,
Gun Body,Steel Bar,10,Broken Gun Body,3,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
SMG Body,Steel Bar,10,Broken Gun Body,3,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Sniper Body,Steel Bar,10,Broken Gun Body,3,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Rifle Body,Steel Bar,10,Broken Gun Body,3,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
MG Body,Steel Bar,10,Broken Gun Body,3,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Saiga-12,Receiver,1,Gun Body,1,Spring,10,Precision gun part,60,Steel Bar,60,Lv. 3 Workbench,,
MK46,MK46 Receiver,1,MG Body,1,Spring,10,Precision gun part,60,Steel Bar,60,Lv. 3 Workbench,,
