What  box can be found in ruins,What can be found in box,,Animals on Emberland,What can you get when killing after animals,,Barrels and drop boxes that can be found by roadside,resources that can be found in barrels and drop boxes
Basic Weapon Box,Gun Part,,Bear,Meat,,Blue Barrel,Scrap
,Spring,,,Hide,,,Cogwheel
,Fuse,,,Bone,,,Glass Fragment
,Dynamite Bundle,,Fox,Meat,,,Chip
,Frag Grenade,,,Hide,,,Spring
,Hide Helmet,,,Bone,,,Glue
,Hide Armor,,Stag,Meat,,,Rubbing Alcohol
,Hide Legguards,,,Hide,,Yellow Barrel,Scrap
,12-Gauge Shell,,,Bone,,,Cogwheel
,9mm Ammo,,Deer,Meat,,,Glass Fragment
,7.62mm Ammo,,,Hide,,,Chip
,Red Dot Sight,,,Bone,,,Spring
,M1897,,Horse,Meat,,,Glue
,PPSh-41,,,Hide,,,Rubbing Alcohol
,Kar98K,,,Bone,,,12-Gauge Shell
Weapon Box,Precision gun part,,Rabbit,Meat,,,9mm Ammo
,Spring,,,Hide,,,7.62mm Ammo
,Gun Body,,,Bone,,Red Barrel,Crude Oil
,12-Gauge Shell,,Chicken,Meat,,Drop Box,Gun Part
,9mm Ammo,,,Egg,,,Spring
,5.56mm Ammo,,,Bone,,,Cogwheel
,7.62mm Ammo,,Boar,Meat,,,Glass Fragment
,Frag Grenade,,,Hide,,,Chip
,Smoke Grenade,,,Bone,,,Glue
,Flashbang,,Elephant,Meat,,,Rubbing Alcohol
,Chip,,,Hide,,,Scrap
,Dynamite Tube,,,Bone,,,Chip
,C4,,Lion,Meat,,,Steel Slag
,Iron Helmet,,,Hide,,,Wooden Club
,Iron Armor,,,Bone,,,Iron Axe
,Iron Legguards,,Lioness,Meat,,,Iron Pickaxe
,Red Dot Sight,,,Hide,,,Iron Machete
,4x Scope,,,Bone,,,Bandage
,Browning 27,,Cow,Meat,,,Grilled Corn
,MPX,,,Hide,,,Honeysuckle Tea
,AKM,,,Bone,,,Mushroom Soup
,M4A1,,Pig,Meat,,,Moonshine
,Ameli,,,Hide,,,Pumpkin Bread
,M700,,,Bone,,,Tomato Omelette
Elite Weapon Box,Receiver,,,,,,Boiled Egg
,Precision gun part,,,,,,Corn Bread
,Spring,,,,,,Egg and Tomato Soup
,Gun Body,,,,,,
,12-Gauge Shell,,,,,,
,9mm Ammo,,,,,,
,7.62mm Ammo,,,,,,
,5.56mm Ammo,,,,,,
,Frag Grenade,,,,,,
,Smoke Grenade,,,,,,
,Flashbang,,,,,,
,Chip,,,,,,
,Dynamite Tube,,,,,,
,C4,,,,,,
,Steel Helmet,,,,,,
,Steel Armor,,,,,,
,Steel Legguards,,,,,,
,Red Dot Sight,,,,,,
,4x Scope,,,,,,
,RocketFuse,,,,,,
,Engine,,,,,,
,Browning 27,,,,,,
,MPX,,,,,,
,AKM,,,,,,
,M4A1,,,,,,
,M700,,,,,,
,Ameli,,,,,,
Code Vault\Trigger Vault,Ember,,,,,,
,Chip,,,,,,
,Dynamite Tube,,,,,,
,C4,,,,,,
,Precision gun part,,,,,,
,Spring,,,,,,
,Gun Body,,,,,,
,Engine,,,,,,
,Super Pressure Balloon,,,,,,
,Teleporter,,,,,,
,Browning 27,,,,,,
,12-Gauge Shell,,,,,,
